CP1 MT FUNNY|false|1065
874.7980346679688,364.97119140625,-726.5882568359375|0.02835896424949169,-7.201386864608139e-08,0.9995977878570557|-4.477380244338747e-08,1,7.331308893299138e-08|Running
874.8131713867188,364.97119140625,-726.0550537109375|0.02399621345102787,-6.413448971898106e-08,0.9997120499610901|-3.996245112602992e-08,1,6.511218231253224e-08|Running
874.8390502929688,364.97119140625,-724.9886474609375|0.021816685795783997,-4.837277955971331e-08,0.9997619986534119|-2.985569835800561e-08,1,4.903580119730577e-08|Running
874.842041015625,364.97119140625,-724.8553466796875|0.00654265470802784,-4.6384478480376856e-08,0.9999786019325256|-2.9321400418780286e-08,1,4.657731622614847e-08|Running
874.8458251953125,364.97119140625,-724.4554443359375|-0.004364759661257267,-4.0380196963951676e-08,0.9999904632568359|-2.598979875756413e-08,1,4.026713895655121e-08|Running
874.8444213867188,364.97119140625,-723.9220581054688|-0.03272120654582977,-3.2239668712463754e-08,0.9994645118713379|-2.2007908384580332e-08,1,3.153643035602727e-08|Running
874.8292236328125,364.97119140625,-723.3889770507812|-0.04797790199518204,-2.40330670919775e-08,0.9988483786582947|-1.7377884020675083e-08,1,2.322605929805377e-08|Running
874.8048706054688,364.97119140625,-722.856201171875|-0.10452934354543686,-1.557926232464979e-08,0.9945217967033386|-1.3562095446673084e-08,1,1.4239633472357127e-08|Running
874.7535400390625,364.97119140625,-722.325439453125|-0.12620115280151367,-7.042176619620477e-09,0.9920046925544739|-8.76927064297206e-09,1,5.983323170255517e-09|Running
874.68798828125,364.97119140625,-721.7962036132812|-0.13701410591602325,1.5313058598920293e-09,0.9905691146850586|-3.738120035734482e-09,1,-2.062936488300693e-09|Running
874.5975341796875,364.97119140625,-721.1357421875|-0.13052433729171753,1.2205256361141892e-08,0.9914451241493225|2.6121913521137685e-09,1,-1.1966675650398884e-08|Running
874.5448608398438,364.97119140625,-720.7391967773438|-0.13052527606487274,1.8604161766688776e-08,0.991445004940033|6.4271836741625066e-09,1,-1.791854487009914e-08|Running
874.4752807617188,364.97119140625,-720.2103881835938|-0.13052599132061005,2.712966029605468e-08,0.9914448857307434|1.1510033814943199e-08,1,-2.58484380566415e-08|Running
874.4057006835938,364.9813537597656,-719.6815795898438|-0.13052551448345184,3.5647875762379044e-08,0.9914449453353882|1.6588513673809757e-08,1,-3.37715704290531e-08|Running
874.3361206054688,364.9911193847656,-719.1527709960938|-0.13052740693092346,4.415882060015974e-08,0.9914447069168091|2.1662726723548076e-08,1,-4.168789402569928e-08|Running
874.2665405273438,364.9970703125,-718.6239624023438|-0.13052409887313843,5.26624823748989e-08,0.9914451241493225|2.6732397628848048e-08,1,-4.959755983691139e-08|Running
874.1969604492188,365.00042724609375,-718.0951538085938|-0.13052836060523987,6.115888595559227e-08,0.9914445877075195|3.1798087718470924e-08,1,-5.750027654016776e-08|Running
874.1273803710938,364.9690246582031,-717.5663452148438|-0.13052481412887573,6.964802423681249e-08,0.9914450645446777|3.68590349353326e-08,1,-6.539647046110986e-08|Running
874.0578002929688,364.95782470703125,-717.0375366210938|-0.13052694499492645,7.812992208755531e-08,0.9914447665214539|4.1915996007446665e-08,1,-7.328573303766461e-08|Running
873.9882202148438,364.9620361328125,-716.5087280273438|-0.13052576780319214,8.660457240239339e-08,0.9914449453353882|4.6968406053338185e-08,1,-8.11683875667768e-08|Running
873.9186401367188,364.9659423828125,-715.9799194335938|-0.13701388239860535,9.509783893690837e-08,0.9905691146850586|5.254699431134213e-08,1,-8.873502110873233e-08|Running
873.8460693359375,364.9682922363281,-715.4515380859375|-0.1456512063741684,1.0361770108602286e-07,0.9893360137939453|5.836306016249182e-08,1,-9.614231544219365e-08|Running
873.7691040039062,364.9696350097656,-714.923828125|-0.16289709508419037,1.1219603379686305e-07,0.9866430759429932|6.507181637971371e-08,1,-1.0297141272985755e-07|Running
873.6835327148438,364.9703369140625,-714.3973999023438|-0.16504579782485962,1.207750415233022e-07,0.986285924911499|7.033119686639111e-08,1,-1.1068512151268806e-07|Running
873.595703125,364.97076416015625,-713.8712768554688|-0.16504767537117004,9.716725202224552e-08,0.9862855672836304|5.661016899694005e-08,1,-8.90450735369086e-08|Running
873.4855346679688,364.97100830078125,-713.213623046875|-0.16504979133605957,2.748297767141139e-08,0.9862852096557617|1.6047598805357666e-08,1,-2.5179657470175698e-08|Running
873.41943359375,364.9710998535156,-712.8190307617188|-0.16504861414432526,-1.4291821948120287e-08,0.9862854480743408|-8.269281259742911e-09,1,1.3106741469925964e-08|Running
873.331298828125,364.97113037109375,-712.2929077148438|-0.16935047507286072,-7.00520530472204e-08,0.98555588722229|-4.0724600580688275e-08,1,6.408091479670475e-08|Running
873.2413330078125,364.97113037109375,-711.7672119140625|-0.17149962484836578,-9.039570159075083e-08,0.9851841926574707|-5.262536362238279e-08,1,8.259416972578038e-08|Running
