CP1 MT FUNNY|false|1065
693.9418334960938,476.97119140625,62.85770034790039|-0.7446029782295227,-2.4256456843119167e-09,0.6675075888633728|-1.4007699000728735e-08,1,-1.1991667214772406e-08|Running
693.5446166992188,476.97119140625,63.21370315551758|-0.7446029782295227,-6.3398544192239115e-09,0.6675075888633728|-7.210453900619029e-10,1,8.69347704934853e-09|Running
693.1473999023438,476.97119140625,63.569705963134766|-0.7446029782295227,-1.025071938443034e-08,0.6675075888633728|1.255425274848676e-08,1,2.9360943898382175e-08|Running
692.7501831054688,476.97119140625,63.92570877075195|-0.7446029782295227,-1.4158244354689486e-08,0.6675075888633728|2.5818204463234906e-08,1,5.001075109589692e-08|Running
692.3529663085938,476.97119140625,64.28173065185547|-0.7446029782295227,-1.80624315504474e-08,0.6675075888633728|3.9070819468634e-08,1,7.064291196456907e-08|Running
691.9557495117188,476.97119140625,64.63774871826172|-0.7446029782295227,-2.1963288077131438e-08,0.6675075888633728|5.231210664646824e-08,1,9.125744782068068e-08|Running
691.5585327148438,476.97119140625,64.99376678466797|-0.7446029782295227,-2.2430430846043237e-08,0.6675075888633728|5.660074720026387e-08,1,9.674124612502055e-08|Running
691.1613159179688,476.97119140625,65.34978485107422|-0.7446029782295227,-1.2610436250781731e-08,0.6675075888633728|3.4073181609528547e-08,1,5.690036886107919e-08|Running
690.7640991210938,476.97119140625,65.70580291748047|-0.7446029782295227,-2.798829612515874e-09,0.6675075888633728|1.1564868174218645e-08,1,1.7093535475964927e-08|Running
690.3668823242188,476.97119140625,66.06182098388672|-0.7446029782295227,7.0044006150737914e-09,0.6675075888633728|-1.092420820469897e-08,1,-2.2679289557459015e-08|Running
689.9696655273438,476.97119140625,66.41783905029297|-0.7446029782295227,1.6799260649236203e-08,0.6675075888633728|-3.339406262625744e-08,1,-6.241813821361575e-08|Running
689.5724487304688,476.97119140625,66.77385711669922|-0.7446029782295227,2.2632764995478283e-08,0.6675075888633728|-4.7401545799630185e-08,1,-8.678268414996637e-08|Running
689.1752319335938,476.97119140625,67.12987518310547|-0.7446029782295227,1.6607391017942064e-08,0.6675075888633728|-3.607838294783505e-08,1,-6.51250431360495e-08|Running
688.7780151367188,476.97119140625,67.48589324951172|-0.7446029782295227,1.0587162257991167e-08,0.6675075888633728|-2.4764897688100973e-08,1,-4.3485915313112855e-08|Running
688.3807983398438,476.97119140625,67.84191131591797|-0.7446029782295227,4.5720764951795445e-09,0.6675075888633728|-1.346107936228691e-08,1,-2.186527403580385e-08|Running
687.9835815429688,476.97119140625,68.19792938232422|-0.7446029782295227,-1.4378717105856254e-09,0.6675075888633728|-2.1669219751885294e-09,1,-2.63105315312373e-10|Running
687.5863647460938,476.97119140625,68.55394744873047|-0.7446029782295227,-7.442687355307953e-09,0.6675075888633728|9.11758224475534e-09,1,2.1320605725350106e-08|Running
687.1891479492188,476.97119140625,68.90996551513672|-0.7446029782295227,-1.3442374324768025e-08,0.6675075888633728|2.039244151319508e-08,1,4.2885876183618166e-08|Running
686.7919311523438,476.97119140625,69.26598358154297|-0.7446029782295227,-1.9436935616568007e-08,0.6675075888633728|3.1657666710316335e-08,1,6.443271871603429e-08|Running
686.3947143554688,476.97119140625,69.62200164794922|-0.7446029782295227,-2.5426379224313678e-08,0.6675075888633728|4.291326050065436e-08,1,8.596115463888054e-08|Running
685.9974975585938,476.97119140625,69.97801971435547|-0.7446029782295227,-3.1410706924361875e-08,0.6675075888633728|5.415923709506387e-08,1,1.0747119461029797e-07|Running
685.6002807617188,476.97119140625,70.33403778076172|-0.7446029782295227,-2.3526807169105268e-08,0.6675075888633728|4.11182696780088e-08,1,8.111307181479788e-08|Running
685.2030639648438,476.97119140625,70.69005584716797|-0.7446029782295227,-1.103057023499332e-08,0.6675075888633728|1.9999461642328242e-08,1,3.8834357951600396e-08|Running
684.8058471679688,476.97119140625,71.04607391357422|-0.7446029782295227,1.454990794513833e-09,0.6675075888633728|-1.1012950551503309e-09,1,-3.4082283661973634e-09|Running
684.309326171875,476.97119140625,71.49109649658203|-0.7446029782295227,1.7046945188781137e-08,0.6675075888633728|-2.745187899222401e-08,1,-5.616070453129396e-08|Running
684.0114135742188,476.97119140625,71.75811004638672|-0.7446029782295227,2.639412599592106e-08,0.6675075888633728|-4.324871838434774e-08,1,-8.778514626328615e-08|Running
683.6141967773438,476.97119140625,72.11412811279297|-0.7446029782295227,2.4199543702252413e-08,0.6675075888633728|-4.0034702664115684e-08,1,-8.091219427797114e-08|Running
683.2169799804688,476.97119140625,72.47014617919922|-0.7446029782295227,1.712619734917098e-08,0.6675075888633728|-2.8739989943460387e-08,1,-5.771631350626194e-08|Running
682.8197631835938,476.97119140625,72.82616424560547|-0.7446029782295227,1.0058891497521927e-08,0.6675075888633728|-1.745492816951355e-08,1,-3.454025687688045e-08|Running
682.4225463867188,476.97119140625,73.18218231201172|-0.7460570335388184,3.051672692322427e-09,0.6658819913864136|-6.104142080687325e-09,1,-1.1422010004480398e-08|Running
682.0247192382812,476.97119140625,73.5374526977539|-0.748956024646759,-3.841409412785879e-09,0.6626196503639221|5.211530762494476e-09,1,1.1687876444455014e-08|Running
681.62548828125,476.97119140625,73.89110565185547|-0.7503991723060608,-1.0674561679024919e-08,0.6609849333763123|1.644215785745473e-08,1,3.4815837324231325e-08|Running
681.2254028320312,476.97119140625,74.24376678466797|-0.7532768845558167,-1.7393714912827818e-08,0.6577035188674927|2.7536552593687702e-08,1,5.798412416879728e-08|Running
680.8239135742188,476.97119140625,74.59479522705078|-0.7547092437744141,-2.4053083080843862e-08,0.6560593843460083|3.8646938094188954e-08,1,8.112113647484875e-08|Running
680.4215087890625,476.97119140625,74.94483184814453|-0.7547098994255066,-3.070672605076652e-08,0.656058669090271|4.9874138596806006e-08,1,1.0417853957278567e-07|Running
680.0189208984375,476.97119140625,75.29473114013672|-0.7589876651763916,-2.3381542035849634e-08,0.6511049866676331|3.7949984488250266e-08,1,8.014853847271297e-08|Running
679.6143798828125,476.97119140625,75.64237213134766|-0.7589876651763916,-1.1460910442906425e-08,0.6511049866676331|1.9235249837379342e-08,1,4.002461650998157e-08|Running
679.2095947265625,476.97119140625,75.98963928222656|-0.7604061365127563,3.56572243953579e-10,0.6494478583335876|4.4915057784145063e-10,1,-2.31510539905333e-11|Running
678.8041381835938,476.97119140625,76.33613586425781|-0.7618212699890137,1.2070992205792663e-08,0.6477872729301453|-1.82335693210689e-08,1,-4.0077527074799946e-08|Running
678.39794921875,476.97119140625,76.68174743652344|-0.7618212699890137,2.377539054521094e-08,0.6477872729301453|-3.6900370758985446e-08,1,-8.009863705638054e-08|Running
677.99169921875,476.97119140625,77.02723693847656|-0.7618212699890137,2.583398206468246e-08,0.6477872729301453|-4.0430908399002874e-08,1,-8.742856039134494e-08|Running
677.58544921875,476.97119140625,77.37272644042969|-0.7618212699890137,1.8259138201415226e-08,0.6477872729301453|-2.8844571176023237e-08,1,-6.210919423210726e-08|Running
677.17919921875,476.97119140625,77.71821594238281|-0.7618212699890137,1.0690770047006026e-08,0.6477872729301453|-1.7268138918780096e-08,1,-3.68114747573145e-08|Running
676.77294921875,476.97119140625,78.06370544433594|-0.7618212699890137,3.128875603053416e-09,0.6477872729301453|-5.701602301400044e-09,1,-1.1535387756111959e-08|Running
676.36669921875,476.97119140625,78.40919494628906|-0.7618212699890137,-4.426551569736148e-09,0.6477872729301453|5.855048446079536e-09,1,1.3719089864139278e-08|Running
675.96044921875,476.97119140625,78.75468444824219|-0.7618212699890137,-1.1975517466566998e-08,0.6477872729301453|1.7401820429086e-08,1,3.8951977643364444e-08|Running
675.55419921875,476.97119140625,79.10017395019531|-0.7618212699890137,-1.951802630628663e-08,0.6477872729301453|2.8938726970295647e-08,1,6.416328801606141e-08|Running
675.14794921875,476.97119140625,79.44566345214844|-0.7618212699890137,-2.7054083417965558e-08,0.6477872729301453|4.046577117833294e-08,1,8.935305118029646e-08|Running
674.74169921875,476.97119140625,79.79115295410156|-0.7618212699890137,-3.458369590703114e-08,0.6477872729301453|5.1982961934982086e-08,1,1.1452127068878326e-07|Running
674.33544921875,476.97119140625,80.13664245605469|-0.7618212699890137,-2.216542149824363e-08,0.6477872729301453|3.343315668757896e-08,1,7.353573039381445e-08|Running
673.92919921875,476.97119140625,80.48213195800781|-0.7618212699890137,-9.757770591534154e-09,0.6477872729301453|1.4899203648610637e-08,1,3.2585237619287e-08|Running
673.52294921875,476.97119140625,80.82762145996094|-0.7618212699890137,2.6392663610153022e-09,0.6477872729301453|-3.6189067298408872e-09,1,-8.330244938292708e-09|Running
673.11669921875,476.97119140625,81.17311096191406|-0.7618212699890137,1.502569979550117e-08,0.6477872729301453|-2.2121190212942565e-08,1,-4.921074392427727e-08|Running
672.71044921875,476.97119140625,81.51860046386719|-0.7618212699890137,2.7401538815752247e-08,0.6477872729301453|-4.060765945723688e-08,1,-9.005628953673295e-08|Running
672.30419921875,476.97119140625,81.86408996582031|-0.7618212699890137,2.478706484509985e-08,0.6477872729301453|-3.682021443296435e-08,1,-8.156610675769116e-08|Running
671.89794921875,476.97119140625,82.20957946777344|-0.7618212699890137,1.718371578363076e-08,0.6477872729301453|-2.561980672055597e-08,1,-5.665661007014933e-08|Running
671.49169921875,476.97119140625,82.55506896972656|-0.7618212699890137,9.586873517264394e-09,0.6477872729301453|-1.4428967354263023e-08,1,-3.1768404795684546e-08|Running
671.08544921875,476.97119140625,82.90055847167969|-0.7618212699890137,1.9965269437705047e-09,0.6477872729301453|-3.2476961120408987e-09,1,-6.9014798320665705e-09|Running
670.67919921875,476.97119140625,83.24604797363281|-0.7632324695587158,-5.530239821638361e-09,0.6461239457130432|7.939077839580477e-09,1,1.793711845721191e-08|Running
670.2722778320312,476.97119140625,83.59077453613281|-0.7632324695587158,-1.3050573066664128e-08,0.6461239457130432|1.910123437198763e-08,1,4.2761538310287506e-08|Running
669.8652954101562,476.97119140625,83.93537902832031|-0.7632324695587158,-2.0564481673090995e-08,0.6461239457130432|3.0253843874561426e-08,1,6.75647413572733e-08|Running
669.4583129882812,476.97119140625,84.27998352050781|-0.7632324695587158,-2.807196786136501e-08,0.6461239457130432|4.139691966997816e-08,1,9.234673825631035e-08|Running
669.0513305664062,476.97119140625,84.62458801269531|-0.7632324695587158,-3.069646936637582e-08,0.6461239457130432|4.53250841303543e-08,1,1.0104879066830108e-07|Running
668.6443481445312,476.97119140625,84.96919250488281|-0.7632324695587158,-1.869528176712265e-08,0.6461239457130432|2.7642993671861404e-08,1,6.158773402376028e-08|Running
668.2373657226562,476.97119140625,85.31379699707031|-0.7632324695587158,-6.7043459672788686e-09,0.6461239457130432|9.976020898250226e-09,1,2.2160405066529165e-08|Running
667.8303833007812,476.97119140625,85.65840148925781|-0.7632324695587158,5.276343362226044e-09,0.6461239457130432|-7.675848401333951e-09,1,-1.7233226401458523e-08|Running
667.4234008789062,476.97119140625,86.00300598144531|-0.7632324695587158,1.724679776771154e-08,0.6461239457130432|-2.5312626661389004e-08,1,-5.659319057826906e-08|Running
667.0164184570312,476.97119140625,86.34761047363281|-0.7632324695587158,2.9207022578248143e-08,0.6461239457130432|-4.293432809276965e-08,1,-9.591951766196871e-08|Running
666.6094360351562,476.97119140625,86.69221496582031|-0.7632324695587158,2.5686825111392864e-08,0.6461239457130432|-3.778356827410789e-08,1,-8.438701115665026e-08|Running
666.2024536132812,476.97119140625,87.03681945800781|-0.7632324695587158,1.7015105768791727e-08,0.6461239457130432|-2.505465879210078e-08,1,-5.592988117086861e-08|Running
665.7954711914062,476.97119140625,87.38142395019531|-0.7632324695587158,8.35079561056773e-09,0.6461239457130432|-1.2336634824805515e-08,1,-2.7497071286575192e-08|Running
665.3884887695312,476.97119140625,87.72602844238281|-0.7632324695587158,-3.0610897150396e-10,0.6461239457130432|3.7051209322847e-10,1,9.114285992595228e-10|Running
664.9815063476562,476.97119140625,88.07063293457031|-0.7632326483726501,-8.955608699068307e-09,0.6461237668991089|1.3066792980964692e-08,1,2.9295643244608982e-08|Running
664.5745239257812,476.97119140625,88.41523742675781|-0.7618204951286316,-1.7662832973996956e-08,0.6477881669998169|2.5816131454803326e-08,1,5.7627001837090575e-08|Running
663.9650268554688,476.97119140625,88.93333435058594|-0.760406494140625,-3.080710797576103e-08,0.6494474411010742|4.4949505451086225e-08,1,1.000650655669233e-07|Running
663.4580078125,476.97119140625,89.36616516113281|-0.7575650215148926,-2.2158163304197842e-08,0.6527596712112427|3.233889245279897e-08,1,7.147649938588074e-08|Running
663.3568725585938,476.97119140625,89.45303344726562|-0.754709780216217,-1.9401197093316114e-08,0.6560587882995605|2.8599488999248024e-08,1,6.247231709721746e-08|Running
662.9540405273438,476.97119140625,89.80257415771484|-0.7518406510353088,-8.21632539782513e-09,0.6593448519706726|1.2676593996729935e-08,1,2.6916270101651207e-08|Running
662.5527954101562,476.97119140625,90.15396881103516|-0.748956561088562,3.1215734441758514e-09,0.6626191139221191|-3.3873939209172477e-09,1,-8.539724483114242e-09|Running
662.1531372070312,476.97119140625,90.5071029663086|-0.7460569739341736,1.461207599362524e-08,0.6658821105957031|-1.9592111044630656e-08,1,-4.389501739865409e-08|Running
661.7550048828125,476.97119140625,90.86197662353516|-0.7431454062461853,2.625455763904938e-08,0.6691299080848694|-3.593703112869662e-08,1,-7.914904642802867e-08|Running
661.3583984375,476.97119140625,91.21858978271484|-0.7431455850601196,3.242444179818449e-08,0.6691297292709351|-4.4557211253959395e-08,1,-9.79435412773455e-08|Running
660.962158203125,476.97119140625,91.57545471191406|-0.7387500405311584,2.199784887579881e-08,0.6739795207977295|-3.1260896093954216e-08,1,-6.69038726641702e-08|Running
660.56787109375,476.97119140625,91.93453216552734|-0.7387503385543823,1.158019546920741e-08,0.6739791631698608|-1.7336347468699387e-08,1,-3.618424671003595e-08|Running
660.173828125,476.97119140625,92.29398345947266|-0.7372773289680481,1.1015093281940835e-09,0.6755902171134949|-3.5026834765972126e-09,1,-5.452948315110007e-09|Running
659.7804565429688,476.97119140625,92.65416717529297|-0.7343223690986633,-9.507759024529605e-09,0.6788008809089661|1.0374272108037985e-08,1,2.5229518030300824e-08|Running
659.3886108398438,476.97119140625,93.01594543457031|-0.7268745303153992,-2.045558744612208e-08,0.6867702603340149|2.453767855570277e-08,1,5.57557626734706e-08|Running
659.0003662109375,476.97119140625,93.381591796875|-0.7117199897766113,-3.2084795265063804e-08,0.7024632692337036|3.9625078329663665e-08,1,8.582193089523571e-08|Running
658.61962890625,476.97119140625,93.75499725341797|-0.7024641036987305,-3.786659164006778e-08,0.7117192149162292|4.695048261282864e-08,1,9.95443443230215e-08|Running
658.2442626953125,476.97119140625,94.13382720947266|-0.7024641036987305,-2.4904668549652342e-08,0.7117192149162292|3.018143601707379e-08,1,6.47812257170699e-08|Running
657.8707885742188,476.9786071777344,94.51226043701172|-0.7024641036987305,-1.1953812162346367e-08,0.7117192149162292|1.3426698863838737e-08,1,3.0047786481191e-08|Running
657.5009155273438,477.0124816894531,94.8869857788086|-0.7024641036987305,9.85981740697639e-10,0.7117192149162292|-3.3137370625269114e-09,1,-4.65599780952175e-09|Running
657.1375122070312,477.08648681640625,95.25519561767578|-0.7024641036987305,1.3914723595576106e-08,0.7117192149162292|-2.0039884418565634e-08,1,-3.933014980361804e-08|Running
656.793212890625,477.212158203125,95.60400390625|-0.7024641036987305,2.6832424282474676e-08,0.7117192149162292|-3.675175364037386e-08,1,-7.397469659053968e-08|Running
656.4520263671875,477.379638671875,95.94969177246094|-0.7024641036987305,3.39573880125954e-08,0.7117192149162292|-4.5721773034301805e-08,1,-9.283898805279023e-08|Running
656.1109619140625,477.5710754394531,96.2953109741211|-0.7024641036987305,2.3738564891573333e-08,0.7117192149162292|-3.1511266485040323e-08,1,-6.445533529131353e-08|Running
655.759765625,477.7643737792969,96.651123046875|-0.6883537769317627,1.2940858162835411e-08,0.7253751158714294|-1.857242715175289e-08,1,-3.546476534665999e-08|Running
655.4049682617188,477.93817138671875,97.02289581298828|-0.662620484828949,1.1191613191741112e-09,0.7489553689956665|-5.61252067043938e-09,1,-6.4598411064764605e-09|Running
655.0523681640625,478.1045837402344,97.41739654541016|-0.6527608036994934,-1.1075911743319011e-08,0.757564127445221|8.47753067745316e-09,1,2.1925156801216872e-08|Running
654.7036743164062,478.2558288574219,97.82048034667969|-0.6494489312171936,-2.338783033906111e-08,0.7604052424430847|2.273512933470556e-08,1,5.017474435931035e-08|Running
654.3569946289062,478.46185302734375,98.22578430175781|-0.6444575786590576,-3.5879551774087304e-08,0.7646400332450867|3.721297758829678e-08,1,7.82874707283554e-08|Running
654.012939453125,478.6908874511719,98.63326263427734|-0.6242207288742065,-4.911568041165992e-08,0.7812480330467224|5.338736031035296e-08,1,1.0552497542448691e-07|Running
653.6784057617188,478.9574279785156,99.04862213134766|-0.6052947044372559,-3.335966525241929e-08,0.7960014343261719|3.697594763707457e-08,1,7.002626745133966e-08|Running
653.3540649414062,479.2222900390625,99.47196960449219|-0.5930675864219666,-1.7073279678925246e-08,0.8051527142524719|1.9129126727079893e-08,1,3.529534708945903e-08|Running
653.0368041992188,479.4385986328125,99.90064239501953|-0.584248423576355,-4.1498365854764074e-10,0.8115748763084412|6.172543032256783e-10,1,9.55689416493044e-10|Running
652.7244873046875,479.7172546386719,100.33296203613281|-0.5807021260261536,1.638268898318529e-08,0.8141161203384399|-1.825820916678822e-08,1,-3.314670848908463e-08|Running
652.4144287109375,479.96563720703125,100.7669448852539|-0.5771439671516418,3.331921050175879e-08,0.8166424036026001|-3.7266161712068424e-08,1,-6.713727884744003e-08|Running
652.1063232421875,480.19537353515625,101.20228576660156|-0.5789245367050171,5.01647647865866e-08,0.8153811097145081|-5.596692886911114e-08,1,-1.0125987870424069e-07|Running
651.7977294921875,480.4587707519531,101.63725280761719|-0.5807034969329834,3.555896554985338e-08,0.8141151070594788|-3.9639004967284563e-08,1,-7.195232143430985e-08|Running
651.4888916015625,481.32421875,102.07212829589844|-0.5824781656265259,2.1031524966019788e-08,0.8128463625907898|-2.338901694542983e-08,1,-4.263427655359919e-08|Jumping
651.1785278320312,482.13519287109375,102.50582885742188|-0.5920963287353516,1.508745128830924e-08,0.8058671951293945|-1.9117509797439425e-09,1,-2.0126629252104067e-08|Freefall
650.8630981445312,482.8916320800781,102.93582916259766|-0.599047064781189,3.517642710448854e-08,0.800713837146759|3.455911468108752e-08,1,-1.807623561944638e-08|Freefall
650.5435791015625,483.5935974121094,103.36286163330078|-0.609239935874939,8.289649855441894e-08,0.7929859757423401|8.757524483371526e-08,1,-3.7254338280945376e-08|Freefall
650.2188110351562,484.24102783203125,103.78588104248047|-0.6132136583328247,1.0855523413511037e-07,0.7899170517921448|1.0841150555052081e-07,1,-5.3266120403350214e-08|Freefall
649.8916625976562,484.833984375,104.20706939697266|-0.6215563416481018,1.3221949757280527e-07,0.7833694815635681|1.2238760405125504e-07,1,-7.167589188838974e-08|Freefall
649.5602416992188,485.3724365234375,104.62496185302734|-0.6314431428909302,1.348463314343462e-07,0.775422215461731|1.1363939478314933e-07,1,-8.13615130823564e-08|Freefall
649.2235717773438,485.85638427734375,105.03860473632812|-0.6353613138198853,1.4779942603126983e-07,0.7722150087356567|1.0771736924652942e-07,1,-1.0276928463781587e-07|Freefall
648.8845825195312,486.28582763671875,105.45035552978516|-0.6389604806900024,1.6835505789458693e-07,0.7692395448684692|1.0674412465050409e-07,1,-1.3019321443152876e-07|Freefall
648.5437622070312,486.6607666015625,105.86061096191406|-0.643854558467865,1.4231760303573537e-07,0.765147864818573|8.196509782010253e-08,1,-1.1702835678306656e-07|Freefall
648.200439453125,486.9812316894531,106.26875305175781|-0.6487919688224792,1.0838523678557976e-07,0.7609658241271973|5.4018279627143784e-08,1,-9.637570030918141e-08|Freefall
647.8544311523438,487.2471618652344,106.67462921142578|-0.6537531614303589,8.501702808416667e-08,0.7567078471183777|3.2858860521400857e-08,1,-8.396297346280335e-08|Freefall
647.505859375,487.4586181640625,107.07823181152344|-0.6557029485702515,6.89904027240118e-08,0.755018949508667|1.6076329600878125e-08,1,-7.74140858084138e-08|Freefall
647.1560668945312,487.6155700683594,107.48085021972656|-0.6589614748954773,5.5890513550593823e-08,0.7521767020225525|1.3658906228286583e-09,1,-7.310840999252832e-08|Freefall
646.8046264648438,487.718017578125,107.88204193115234|-0.6621896624565125,4.7070244590941e-08,0.749336302280426|-1.050724218742971e-08,1,-7.210118013745159e-08|Freefall
646.4515380859375,487.7659606933594,108.28170776367188|-0.6654485464096069,4.2919854337242214e-08,0.7464437484741211|-1.925086223764083e-08,1,-7.466110218956601e-08|Freefall
646.0966186523438,487.7594299316406,108.6798324584961|-0.6672238707542419,4.230173900054979e-08,0.7448571920394897|-2.5766615507905044e-08,1,-7.987281236410126e-08|Freefall
645.74072265625,487.6983642578125,109.07706451416016|-0.6703770756721497,4.4153154021842056e-08,0.7420206069946289|-3.043483687292792e-08,1,-8.70002381248014e-08|Freefall
645.3831787109375,487.58282470703125,109.47284698486328|-0.6750207543373108,5.182081608268163e-08,0.7377987504005432|-3.092889855338399e-08,1,-9.853427229700173e-08|Freefall
645.023193359375,487.41278076171875,109.86639404296875|-0.6797699332237244,6.91550212650327e-08,0.7334253787994385|-2.4734712056329045e-08,1,-1.1721564874278556e-07|Freefall
644.6607055664062,487.188232421875,110.25757598876953|-0.6845484375953674,9.699349590164275e-08,0.7289673686027527|-1.1194762450372764e-08,1,-1.4356864141973347e-07|Freefall
644.2955932617188,486.9091796875,110.6463623046875|-0.6978645920753479,1.239575624367717e-07,0.7162297368049622|1.894680679015437e-08,1,-1.546085712789136e-07|Freefall
643.9237060546875,486.57562255859375,111.02860260009766|-0.7100657224655151,1.4329773989629757e-07,0.7041354179382324|6.707267630190472e-08,1,-1.3587120406555186e-07|Freefall
643.545166015625,486.1875915527344,111.4041976928711|-0.7236312627792358,1.6880436248811748e-07,0.6901867985725403|1.1785073184000794e-07,1,-1.2101635604722105e-07|Freefall
643.1593627929688,485.7450256347656,111.77239227294922|-0.7396624684333801,1.6584939999120252e-07,0.6729780435562134|1.314482176439924e-07,1,-1.0196781374816055e-07|Freefall
642.8358764648438,485.24798583984375,112.06893920898438|-0.7583569288253784,1.1457726856178851e-07,0.6518394947052002|9.701638248316158e-08,1,-6.290539289466324e-08|Landed
642.5242919921875,484.6964416503906,112.3384017944336|-0.7784478068351746,6.782903483326663e-08,0.6277093291282654|6.495813664741945e-08,1,-2.750080696500845e-08|Landed
642.1355590820312,484.6929016113281,112.65538787841797|-0.8115663528442383,2.1458985699496225e-08,0.5842602252960205|3.244685942149772e-08,1,8.34182056763666e-09|Running
641.7113647460938,484.859619140625,112.96595764160156|-0.8338850140571594,-2.4585176561231492e-08,0.5519381761550903|-1.7926025108749855e-09,1,4.183503321542048e-08|Running
641.37744140625,484.9654541015625,113.19586181640625|-0.858288586139679,-7.016787861857665e-08,0.5131673216819763|-3.7564621635510775e-08,1,7.390686818098402e-08|Running
641.0836181640625,485.0865478515625,113.37451171875|-0.8756751418113708,-8.337669044067297e-08,0.4829006493091583|-5.3040100311818605e-08,1,7.647700783763867e-08|Running
640.6795043945312,485.1824645996094,113.60237884521484|-0.8929791450500488,-6.529757712314677e-08,0.4500980079174042|-4.784646634448109e-08,1,5.014836190753158e-08|Running
640.2158203125,485.23382568359375,113.85822296142578|-0.9053838849067688,-4.7754301846225644e-08,0.42459389567375183|-4.126319197439443e-08,1,2.4482858407282038e-08|Running
639.848876953125,485.4712829589844,114.04368591308594|-0.9170599579811096,-3.07600380722306e-08,0.39874938130378723|-3.3961526924031205e-08,1,-9.648128962425062e-10|Running
639.4620361328125,485.7296142578125,114.2138900756836|-0.9238792657852173,-1.4115458135677272e-08,0.38268402218818665|-2.5967000993887268e-08,1,-2.580435776167178e-08|Running
639.0700073242188,485.9334411621094,114.37751007080078|-0.9279990792274475,2.303001123138415e-09,0.3725825548171997|-1.771823932017469e-08,1,-5.0312369381799726e-08|Running
638.6786499023438,486.79888916015625,114.53980255126953|-0.9279990792274475,1.8707446258758864e-08,0.3725825548171997|-9.75932401559021e-09,1,-7.451795625001978e-08|Jumping
638.2638549804688,487.60986328125,114.71033477783203|-0.9279990792274475,3.509788371047762e-08,0.3725825548171997|-1.807199945247362e-09,1,-9.870286277191553e-08|Freefall
637.8115844726562,488.3663024902344,114.89405059814453|-0.9279990792274475,5.1474330575729255e-08,0.3725825548171997|6.138137109701347e-09,1,-1.228671209219101e-07|Freefall
637.3251953125,489.0682678222656,115.08975982666016|-0.9279990792274475,6.783680106536849e-08,0.3725825548171997|1.407669714126314e-08,1,-1.4701075201628555e-07|Freefall
636.8305053710938,489.7156982421875,115.28839874267578|-0.9279990792274475,8.418530939025004e-08,0.3725825548171997|2.2008487476909977e-08,1,-1.7113374894961453e-07|Freefall
636.3356323242188,490.30865478515625,115.48709869384766|-0.9279990792274475,6.44906847924176e-08,0.3725825548171997|1.899131873983606e-08,1,-1.257889294947745e-07|Freefall
635.8407592773438,490.84710693359375,115.68579864501953|-0.9279990792274475,4.481286453028588e-08,0.3725825548171997|1.597670795661088e-08,1,-8.048282040817867e-08|Freefall
635.3458862304688,491.3310546875,115.8844985961914|-0.9279990792274475,2.515183794571385e-08,0.3725825548171997|1.2964660456304955e-08,1,-3.521540392625866e-08|Freefall
634.8510131835938,491.760498046875,116.08319854736328|-0.9279990792274475,5.5075859428654894e-09,0.3725825548171997|9.955170021669346e-09,1,1.001335725447916e-08|Freefall
634.3561401367188,492.13543701171875,116.28189849853516|-0.9279990792274475,-1.4119902580489452e-08,0.3725825548171997|6.948236208614844e-09,1,5.520349688481474e-08|Freefall
633.8612670898438,492.4559020996094,116.48059844970703|-0.9279990792274475,-3.373064316747332e-08,0.3725825548171997|3.943857684873819e-09,1,1.0035504516281435e-07|Freefall
633.3663940429688,492.7218322753906,116.6792984008789|-0.9279990792274475,-5.3324647808494774e-08,0.3725825548171997|9.420331181786423e-10,1,1.4546803583925794e-07|Freefall
632.8715209960938,492.93328857421875,116.87799835205078|-0.9272589087486267,-5.1446068738414397e-08,0.374420702457428|-7.410939639740377e-10,1,1.3556645228618436e-07|Freefall
632.376953125,493.0902404785156,117.07762908935547|-0.9272134900093079,-4.202405889941474e-08,0.3745332360267639|-2.0159489633186922e-09,1,1.0721303311811425e-07|Freefall
631.882568359375,493.19268798828125,117.27742767333984|-0.9264434576034546,-3.226185896210154e-08,0.3764339089393616|-2.812508004268466e-09,1,7.87820297887265e-08|Freefall
631.388427734375,493.2406311035156,117.47814178466797|-0.9263947606086731,-2.2030295809827294e-08,0.37655383348464966|-3.3805382937401873e-09,1,5.018826598757187e-08|Freefall
630.894287109375,493.2341003417969,117.67901611328125|-0.924868643283844,-1.0697770669310103e-08,0.38028669357299805|-2.826125777843913e-09,1,2.1257580584688185e-08|Freefall
630.4010009765625,493.17303466796875,117.88172149658203|-0.9247732162475586,2.5268453995863638e-09,0.3805187940597534|-7.181519268151249e-10,1,-8.385849348258034e-09|Freefall
629.9078369140625,493.0574951171875,118.08474731445312|-0.9239638447761536,1.619028999755301e-08,0.3824797570705414|1.7282281161712376e-09,1,-3.8154883696961406e-08|Freefall
629.4150390625,492.887451171875,118.2886962890625|-0.9239112138748169,3.035503937098838e-08,0.38260698318481445|4.6556207777825875e-09,1,-6.8095097560672e-08|Freefall
628.92236328125,492.66290283203125,118.49281311035156|-0.9215932488441467,4.678209464259453e-08,0.3881569802761078|9.119430544046736e-09,1,-9.88715598282397e-08|Freefall
628.4307250976562,492.38385009765625,118.69967651367188|-0.9191233515739441,7.165057525071461e-08,0.39396992325782776|2.0984773030363613e-08,1,-1.3291111145008472e-07|Freefall
